id,uid,app_name,time_unix,duration_sec,start_datetime,hour_of_day,day_of_week,is_weekend,end_time_unix,gap_to_next_app_sec,is_new_session
572227,B04,com.apple.mobilesafari,1287358033,16,2010-10-17 23:27:13,23,6,1,1287358049,77,1
572228,B04,com.apple.mobilephone,1287358126,5,2010-10-17 23:28:46,23,6,1,1287358131,267,1
572229,B04,com.facebook.Facebook,1287358398,80,2010-10-17 23:33:18,23,6,1,1287358478,723,1
572230,B04,com.apple.MobileSMS,1287359201,14,2010-10-17 23:46:41,23,6,1,1287359215,0,1
572231,B04,SpringBoard,1287359215,15,2010-10-17 23:46:55,23,6,1,1287359230,3934,0
572232,B04,SpringBoard,1287363164,6,2010-10-18 00:52:44,0,0,0,1287363170,0,1
572233,B04,com.apple.MobileSMS,1287363170,70,2010-10-18 00:52:50,0,0,0,1287363240,1080,0
572234,B04,SpringBoard,1287364320,3,2010-10-18 01:12:00,1,0,0,1287364323,1116,1
572235,B04,com.apple.MobileSMS,1287365439,915,2010-10-18 01:30:39,1,0,0,1287366354,320,1
572236,B04,com.apple.mobilephone,1287366674,2,2010-10-18 01:51:14,1,0,0,1287366676,0,1
572237,B04,SpringBoard,1287366676,3,2010-10-18 01:51:16,1,0,0,1287366679,4221,0
572238,B04,SpringBoard,1287370900,3,2010-10-18 03:01:40,3,0,0,1287370903,0,1
572239,B04,com.apple.mobilemail,1287370903,15,2010-10-18 03:01:43,3,0,0,1287370918,0,0
572240,B04,SpringBoard,1287370918,1,2010-10-18 03:01:58,3,0,0,1287370919,0,0
572241,B04,com.apple.mobilesafari,1287370919,9,2010-10-18 03:01:59,3,0,0,1287370928,0,0
572242,B04,SpringBoard,1287370928,1,2010-10-18 03:02:08,3,0,0,1287370929,0,0
572243,B04,com.apple.mobilemail,1287370929,1,2010-10-18 03:02:09,3,0,0,1287370930,0,0
572244,B04,SpringBoard,1287370930,8,2010-10-18 03:02:10,3,0,0,1287370938,0,0
572245,B04,com.facebook.Facebook,1287370938,10,2010-10-18 03:02:18,3,0,0,1287370948,456,0
572246,B04,SpringBoard,1287371404,10,2010-10-18 03:10:04,3,0,0,1287371414,0,1
572247,B04,com.facebook.Facebook,1287371414,34,2010-10-18 03:10:14,3,0,0,1287371448,4,0
572248,B04,SpringBoard,1287371452,172,2010-10-18 03:10:52,3,0,0,1287371624,2707,0
572249,B04,com.apple.MobileSMS,1287374331,9,2010-10-18 03:58:51,3,0,0,1287374340,0,1
572250,B04,SpringBoard,1287374340,1,2010-10-18 03:59:00,3,0,0,1287374341,0,0
